Original Text,Label
Có lẽ là do áp lực công việc?,0
Làm thế nào để chết không đau đớn?,0
"Có rất nhiều điều muốn làm, cứ nghĩ mãi mà không hành động, làm thế nào để mình hành động được đây? Trong lòng thực ra rất kháng cự, nhưng làm thế nào để hành động được đây?",0
"À, sắp đến kỳ thi cuối kỳ rồi, còn phải đối mặt với phỏng vấn chứng chỉ giảng dạy, áp lực hơi lớn một chút.",0
"Cơ thể có một số vấn đề, nhưng mỗi lần nói đi bệnh viện lại rất không muốn, một số bệnh càng trì hoãn càng nghiêm trọng, hơn nữa bệnh viện kiểm tra quá nhiều, có chút không thích ứng, nên làm thế nào đây?",0
"Bạn trai rất tốt, chỉ là không có chí tiến thủ, sống qua ngày, đơn vị và nhà hai điểm một đường.",0
"Khi gặp chuyện, luôn quá mềm lòng, thấy người khác đáng thương, luôn nghĩ cho người khác, không biết từ chối, ngại từ chối, làm thế nào để thay đổi?",0
"Có đứa trẻ thích ngồi xổm trong bồn cầu ngồi nửa tiếng, và tình trạng này xảy ra mỗi ngày, chủ yếu là để chơi điện thoại, mọi người có thấy tình huống tương tự không?",0
"Nếu chúng ta luôn bị những người xung quanh nói là “hỷ nộ ái ố ra mặt sẽ thiệt thòi”, vậy chúng ta nên thay đổi như thế nào, nên kiểm soát một cách có ý thức hay cứ mặc kệ?",0
"Cảm thấy mình làm bất cứ việc gì cũng có thể bị phân tâm bởi việc nghe nhạc, mở âm thanh rất lớn, dần dần không thể thích nghi với môi trường yên tĩnh được nữa, là vì sao vậy?",0
"Nam 25 tuổi, độc thân từ nhỏ, rất lo lắng trước sự thúc ép xem mắt của cha mẹ, cảm thấy mình không có ham muốn yêu đương và quan hệ tình dục.",0
"Tôi và bạn trai mỗi lần ở bên nhau đều không có gì để nói, anh ấy không có gì muốn nói với tôi và tôi cũng không có gì muốn nói với anh ấy, tôi cũng không phải là người thích lải nhải. Phải làm sao đây?",0
"Khi lãnh đạo phê bình người khác, tôi có một cảm giác căng thẳng và lo lắng không thể giải thích được, không biết đây là chuyện gì. Rất bối rối.",0
"Trẻ em ở nhà hàng xóm, bị bạn bè bắt nạt, cha mẹ lại không có ở nhà đi làm ăn xa, lại không dám nói với giáo viên, nói ra thì kẻ bắt nạt sẽ càng lộng hành, nên làm thế nào đây?",0
"Người ít suy nghĩ làm nhiều cùng lắm là mệt mỏi về thể chất, ngủ một giấc là không sao, người nghĩ nhiều thì đêm nào cũng mất ngủ, càng nghĩ càng hưng phấn, tại sao không thể nghĩ bao nhiêu việc làm bấy nhiêu?",0
"Tại sao luôn muốn làm hài lòng người khác? Khó chịu, thực ra trong lòng rất không muốn, nhưng vì một số chuyện mà buộc phải làm hài lòng.",0
"Tôi và bạn gái không cãi nhau, mọi thứ đều tốt đẹp, không có chuyện gì xảy ra, cô ấy bỗng nhiên có một khoảng thời gian không muốn nói chuyện với tôi và cũng không muốn gặp tôi, tôi không biết tại sao ai có thể giúp tôi?",0
